stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,platform_code,parent_station,level_id
3637,Soseaua Giurgiului,"Str. Anghel Alexandru, Bucuresti",44.378857,26.091316,,,,
6063,Soseaua Giurgiului,"Str. Anghel Alexandru, Bucuresti",44.378963,26.091064,,,,
3285,Soseaua Iancului,"Sos. Pantelimon, Bucuresti",44.4436,26.149515,,,,
3311,Soseaua Iancului,"Sos. Pantelimon, Bucuresti",44.443577,26.149324,,,,
6728,Soseaua Iancului,"Bd. Pierre de Coubertin, Bucuresti",44.442596,26.14992,,,,
7617,Soseaua Iancului,"Sos. Pantelimon, Bucuresti",44.443203,26.1526,,,,
7650,Soseaua Iancului,"Sos. Pantelimon, Bucuresti",44.44381,26.148525,,,,
6078,Soseaua Industriilor,"Sos. Garii Catelu, Bucuresti",44.426308,26.220911,,,,
7271,Soseaua Magurele,"Sos. Magurele, Bucuresti",44.398277,26.048668,,,,
PV1_1972,Soseaua Magurele,,44.398277,26.048668,,,,
12023,Soseaua Mihai Bravu,"Splaiul Unirii, Bucuresti",44.409653,26.122211,,,,
3108,Soseaua Mihai Bravu,"Bd. Camil Ressu, Bucuresti",44.420124,26.137255,,,,
3310,Soseaua Mihai Bravu,"Bd. Ferdinand, Bucuresti",44.44411,26.13006,,,,
3361,Soseaua Mihai Bravu,"Bd. Camil Ressu, Bucuresti",44.419918,26.137915,,,,
3397,Soseaua Mihai Bravu,"Bd. Ferdinand, Bucuresti",44.443493,26.128525,,,,
3704,Soseaua Mihai Bravu,"Str. Baba Novac, Bucuresti",44.424393,26.138252,,,,
3711,Soseaua Mihai Bravu,"Str. Vatra Luminoasa, Bucuresti",44.4378,26.137438,,,,
3728,Soseaua Mihai Bravu,"Str. Vatra Luminoasa, Bucuresti",44.437748,26.137138,,,,
3781,Soseaua Mihai Bravu,"Calea Vacaresti, Bucuresti",44.407936,26.120037,,,,
3847,Soseaua Mihai Bravu,"Bd. Ferdinand, Bucuresti",44.44329,26.128286,,,,
3883,Soseaua Mihai Bravu,"Bd. Ferdinand, Bucuresti",44.4445,26.130638,,,,
3889,Soseaua Mihai Bravu,"Str. Dristorului, Bucuresti",44.424824,26.136894,,,,
6159,Soseaua Mihai Bravu,"Calea Vitan, Bucuresti",44.41593,26.131313,,,,
6579,Soseaua Mihai Bravu,"Sos. Mihai Bravu, Bucuresti",44.41453,26.131859,,,,
6467,Soseaua Mihai Bravu 33,"Sos. Mihai Bravu, Bucuresti",44.445988,26.126987,,,,
3152,Soseaua Morarilor,"Bd. Basarabia, Bucuresti",44.43698,26.168562,,,,
3284,Soseaua Morarilor,"Sos. Pantelimon, Bucuresti",44.442444,26.166723,,,,
6654,Soseaua Morarilor,"Bd. Basarabia, Bucuresti",44.437172,26.169199,,,,
6735,Soseaua Morarilor,"Sos. Pantelimon, Bucuresti",44.442307,26.167294,,,,
PV1_5140,Soseaua Morarilor,,44.437103,26.169828,,,,
3733,Soseaua Nicolae Titulescu,"Calea Grivitei, Bucuresti",44.450256,26.069515,,,,
6049,Soseaua Nicolae Titulescu,"Sos. N.Titulescu, Bucuresti",44.45072,26.070103,,,,
6817,Soseaua Nicolae Titulescu,"Calea Grivitei, Bucuresti",44.44982,26.070368,,,,
6708,Soseaua Odai 179,"Sos. Odai, Bucuresti",44.531197,26.055483,,,,
3668,Soseaua Oltenitei,"Calea Vacaresti, Bucuresti",44.394955,26.120995,,,,
7455,Soseaua Oltenitei,"Sos. Vitan Barzesti, Bucuresti",44.386787,26.140223,,,,
7488,Soseaua Oltenitei,"Str. Iriceanu, Bucuresti",44.385403,26.13895,,,,
PV1_3270,Soseaua Oltenitei,,44.364265,26.1937,,,,
6298,Soseaua Orhideelor,"Sos. Orhideelor, Bucuresti",44.443943,26.060925,,,,
6838,Soseaua Panduri,"Calea 13 Septembrie, Bucuresti",44.423054,26.071924,,,,
6865,Soseaua Panduri,"Str. Dr. Bagdasar, Bucuresti",44.42963,26.064135,,,,
6882,Soseaua Panduri,"Calea 13 Septembrie, Bucuresti",44.423717,26.074274,,,,
3431,Soseaua Pantelimon,"Bd. Ferdinand, Bucuresti",44.445988,26.134247,,,,
3848,Soseaua Pantelimon,"Bd. Ferdinand, Bucuresti",44.446728,26.13604,,,,
3882,Soseaua Pantelimon,"Bd. Ferdinand, Bucuresti",44.445942,26.133936,,,,
6653,Soseaua Pantelimon,"Sos. Morarilor, Bucuresti",44.441586,26.16638,,,,
7476,Soseaua Pantelimon,"Sos. Pantelimon, Bucuresti",44.445877,26.135082,,,,
7619,Soseaua Pantelimon,"Sos. Morarilor, Bucuresti",44.441566,26.166222,,,,
PV1_627,Soseaua Pantelimon,,44.441566,26.166222,,,,
PV1_634,Soseaua Pantelimon,,44.44157,26.166296,,,,
PV1_305,Soseaua Petrachioaia,,44.563446,26.288553,,,,
PV1_332,Soseaua Petrachioaia,,44.564537,26.289642,,,,
10983,Soseaua Petricani,"Bd. Dimitrie Pompeiu, Bucuresti",44.482277,26.124992,,,,
9071,Soseaua Petricani,"Bd. Dimitrie Pompeiu, Bucuresti",44.482334,26.124561,,,,
PV1_425,Soseaua Petricani,,44.482346,26.124537,,,,
